,pseado,tweet,lesreaction
453,Anthony Roux@A_RX2·22 août,"Ouin ouin, les milliardaires en ont marre qu’on traque leurs trajets en jet privé",
454,Stéphane Baly  @StefBaly·23 août,Pointer la contradiction entre l'appel à l'extinction du wifi et le maintien d'écrans publicitaires ou les trajets en jet privé... Un propos entendu hier lors de l'atelier la plénière @Cedis_Formation ,"1 réponse, 2 Retweets, 9 J'aime"
455,Christophe Chartreux سلام@ProfToujours·26 août,"Elle a un jet privé ?
Les interdire supprimerait des emplois ? 
Transformons ces avions en batteries de cuisine. Cela créera d'autres emplois.
Quand on remplace une hôtesse de caisse par un automate, cela vous dérange moins.","3 réponses, 2 Retweets, 14 J'aime"
456,Lulu la Sardine @lucDurand13·22 août,Quand @EELV @julienbayou @sandrousseau @BonPote et toute la clique khmers verts auront trouvé une solution technique fonctionnelle pour éliminer les millions de tonnes de charbon qui vont dans l'atmosphère alors on parlera jet privé...,"2 Retweets, 1 J'aime"
457,Chris Runner@Chris87Runner·25 août,"Le déplacement aurait coûté 10 000 € au contribuables , selon CNews, et aurait généré 4 460 kg de CO₂, selon un tweet du journaliste Loup Esparguillere  
Je me permet de la ressortir celle la",
458,Jean Marc Morandini@morandiniblog·21 août,"Jets privés : Le ministre délégué aux transports, Clément Beaune, va faire des propositions pour en réguler l’usage alors que Julien Bayou, secrétaire national des Verts, appelle à leur interdiction #jetprivé #déplacement #ClémentBeaune","10 réponses, 6 Retweets, 13 J'aime"
459,Mounredeme @Mounredeme62·16h,"Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune https://bfmtv.com/politique/gouvernement/regulation-des-vols-en-jet-prive-il-ne-peut-y-avoir-qu-une-seule-position-celle-du-president-affirme-clement-beaune_VN-202208270253.html… via @BFMTV",
460,Haylloh@Haylloh·23 août,"Julien Bayou dénonce ""les vols caprices"" en jet privé qui polluent ""10 fois plus que des vols classiques""",
461,JOD@jo_delb·23 août,"C'est pas le jet privé qui est défendu, c'est juste qu'interdire, taxer, interdire, taxer... tu termines avec les gilets jaunes, le RN a 40%... mais bon le jour où EELV parlera aux classes populaires.","148 réponses, 78 Retweets, 289 J'aime"
462,Herbinouzh@Herbinouzh·23 août,Êtes-vous riche? Possédez vous un yatch ou un jet privé?,"3 réponses, 2 J'aime"
463,Le Républicain Lorrain@lerepu·20 août,"Vols en jet privé : le ministre des Transports Clément Beaune planche sur une régulation

 https://c.republicain-lorrain.fr/environnement/2022/08/20/vols-en-jet-prive-le-ministre-des-transports-clement-beaune-planche-sur-une-regulation…",1 Retweet
464,SOULFUNKRNB - E Macron 2022@SOULFUNKRNB·24 août,Bonsoir je rêve d'un jet privé ,
465,Jérôme Bascher@JeromeBascher·23 août,"Interdire les jets privés, les piscines privées, le privé tout court ! Sentier lumineux de @julienbayou dont le maoïsme se révèle. @yjadot méfiance, le totalitarisme rampant prend le pas !","4 réponses, 9 Retweets, 26 J'aime"
466,Titrespresse.com@titrespresse·21 août,"(France TV Info): #Climat : Un jet privé ""pollue dix fois plus qu'un avion"", il est ""donc temps de les bannir"", martèle #Julien Bayou : Le secrétaire national d'EELV, élu en juin à l’Assemblée, Julien Bayou, souhaite proposer.. https://titrespresse.com/83241922205/eelv-climat-julien-bayoule-assemblee-pollue-bannir…",
467,Sangha #Frexit / Macron Destitution Article 68@Sangha40409046·19 août,"Ça roule en limousine, fraude le fisc, chauffe des villas de taille démesurées, ça vole en jet privé, ça bénéficie de l'assistanat, ça exploite le travail des enfants etc.
Effectivement ce ne sont pas des hommes normaux
Ce ne sont même pas des hommes ! ","1 réponse, 3 Retweets, 7 J'aime"
468,Titrespresse.com@titrespresse·21 août,"(La Dépêche): #Environnement: le gouvernement envisage de réguler les vols en jet privé : Dans les colonnes du Parisien, Clément Beaune, ministre délégué aux Transports, s'est dit prêt à faire des propositions pour réguler.. https://titrespresse.com/82952162205/environnement-parisien-clement-beaune-transports-gouvernement-envisage…",
469,Call me Samael @voyageurfi·24 août,"Faux. JLM ne va pas aux Amériques tout les 3 mois. 
Et ne  fais pas un Nice Paris en jet privé tout les 4 matins. Si il doit se déplacer, il prend les transports en commun (métro ou train).","12 réponses, 2 Retweets, 11 J'aime"
470,Stéphanie Mayol @smay06·23 août,A vendre : jet privé comprenant piscine et barbecue. Prix à débattre.,1 J'aime
471,Luke Skywalk@LuckSkywalk1·23 août,"Le jet privé appartenant à Steven Spielberg a brûlé plus de 116 000 $ de kérosène depuis juin malgré les avertissements passés du célèbre réalisateur hollywoodien sur le réchauffement climatique, selon une base de données de suivi des vols.

https://google.com/.../steven-spielbergs-private.../amp/…",
472,failed project@thxwxrstguy_·26 août,"5h de décalage, trop relou mes vols en jet privé. Mais c'est bon j'suis en live ! DALE
http://twitch.tv/thxwxrstguy",1 J'aime
473,DrakaSAN (il)@drakasan219·21 août,"Remarquez bien que leur mission sera de lutter contre ""les pyromane"", mais pas de lutter contre les jets privé, les coupes de budgets de l'ONF ou les chasseurs
Individualisation des problèmes collectifs et systemiques et repression...","1 réponse, 5 Retweets, 18 J'aime"
474,Résiste@AgnesResiste·24 août,"Dupont-Moretti côtoie des gens malhonnêtes mais estime que si tu es pauvre, que t’es taule et tu fais pas de karting, si t’es riche tu vas pas en taule et tu utilises ton jet privé 
GUERRE, INFLATION... POURQUOI MACRON FAIT PEUR AUX FRANÇAIS https://youtu.be/wOMQWYRdr2Y via @YouTube","3 Retweets, 1 J'aime"
475,m21042017@m21042017·20 août,tu diras à ton camarade @Gregorydoucet d'y aller en stop la prochaine fois et pas prendre les jet privé de la republique au frais du contribuable et idem pour tous les parlementaire francais @AssembleeNat @Senat pour aller voir leur homologue..etc ,"2 réponses, 4 Retweets, 9 J'aime"
476,thierry rouby личный номер 1551 BOT ТАК BOT@ThierryRouby·25 août,"Agir pour l'environnement fait circuler une pétition pour interdire les vols en jet privé 
Les khmers verts sont vraiment à notre porte !",
477,Nice City Mag@NiceCityMag1·24 août,“J’ai mal à ma planète”: polémique après des vols en jet privé entre Nice et… Cannes,
478,minimoog@minimoog18·19 août,"https://t.me/resilienceetorganisation82/29796… « A votre avis, combien de fois un milliardaire peut prendre son jet privé en une journée ?  »

« Notre cher Vincent Boloré a pris son avion 5 fois dans la même journée.

C’est un record ! Depuis l’ouverture du compte « i_fly_bernard » sur Twitter.",1 J'aime
479,Jean-Michel .blank?@MarcelMonfort·22 août,Moi je ferais bien des jets privé de riches ,1 J'aime
480,Vincent de Vincennes@VincentdeVince2·23 août,"En effet, il est surtout impossible de mettre une frontière claire entre ce qui s'apparente à un usage privé et un transport de passagers. Bien des jets privés sont en location, comme le sont les avions utilisés pour des passagers, parfois ce sont les mêmes avions!","7 réponses, 3 Retweets, 4 J'aime"
481,Valeurs Vertes@VALEURSVERTES·25 août,#Jet privé çà va exciter les foules on est en bonne position pour une fois mais…,
482,Noemi@Nonou1989·23 août,Sauvons la planète en interdisant les vols en jet privé - Signez la pétition ! https://chng.it/ggTJvM58 via @ChangeFrance,
483,petit papillon@petitpapillon8·24 août,"Qui voit Matt Pokora prendre un train liw cost avec sa famille pour partir en vacances  ! Qui 

@BFMTV",
484,Philippe Buerch@PhilippeBUERCH·21 août,L’idée de vouloir réguler les vols en #jetprivé semble être inspirée par la volonté de courir après le rêve insensé de l’écologiste @julienbayou  qui veut tout interdire. Il y a tellement d’autres sujets pour faire progresser l’écologie et lutter contre le dérèglement climatique,"4 réponses, 2 Retweets, 5 J'aime"
485,Kal@74Kal60669766·23 août,Qu'il recense le nombre de jet privé et quelles personnes en possèdent et il verra que qu'ils n'appartiennent pas à des sociétés qui font du transport de marchandises. Le but d'un jet privé c'est qu'il est privé pauvre con donc pas à la disposition de tout le monde,"5 réponses, 7 J'aime"
486,𝕊𝕟𝕠𝕨𝕔𝕙𝕚𝕝𝕕 @Snowchild_91·23 août,"Il a pas tord, alors certes ça pollue, ça défonce la planète etc, mais qu’est ce que le pilote du jet privé aurait fait de sa journée sans ca hein ?! CRÉATION D’EMPLOI !! ",
487,Yves Cambus@YvesCambus·23 août,"Ouf, Macron bis est revenu de vacances. En jet privé ou pas? Chut, secret défense!",
488,Jean-Marie Lancel@JM_Lancel·15h,À l'heure de la visio comment justifier qu'un passager de jet privé produise autant de CO2 en 9 vols qu'un·e Européen·ne en un an ? J'ai signé la pétition.,
489,Morgane To Me..@MorganeToMee·24 août,"J'ai du mal à me faire à l'idée, de clouer au sol mon Jet privé, pas loin de ma piscine où j'ai pour habitude d'organiser des barbecues avec des potes, ..
Ne me demandez pas ça, svp, le sacrifice de trop!",1 J'aime
490,imagine   - Jm  - 75 @Jm_Porticcio66·24 août,"Ben voyons ! 
Donc pour l’Elysee et Macron fini les dépenses somptueuses, fini les chauffeurs avec voiture de luxe, fin le jet ski, jet privé, escortes de motards et policiers, fini le chef étoilé à l’Elysee etc… Ok !","2 réponses, 6 J'aime"
491,Jean-Marie Zitu@jmzitu·19 août,"François Beya évacué pour des soins en France
https://exclusifrdc.com/evacuation-de-francois-beya-pour-des-soins-en-france-sassou-nguesso-affrete-un-jet-prive-medicalise/…

Download Now
https://opr.as/share",
492,Lena #FBPE@Lenamaddie18·23 août,"Attention... le nonos ""jet prive""..va plus suffire..
Cherche !!..","1 Retweet, 1 J'aime"
493,Baby@jnl_j·20 août,Voici le bilan carbone du jet privé de Bernard Arnault (mais ce n'est pas le pir par @lehuffpost - https://dailymotion.com/video/x8bi3yy # via @lehuffpost,2 Retweets
494,Nanette @Nanetteisa·20 août,Quand t'as rien d'autre a faire de ta petite vie de m... que de traquer les autres,1 Retweet
495,Jean-Christophe@jeancchristophe·25 août,"62 vols Nice-Cannes (35 km) en jet privé recensés... rien que pour le mois de juillet !
L' #écologie n'est pas pour tout le monde...
 #Climat #malamaplanete #noPlanetB",
496,Guy de Lussigny@gdelussigny·21 août,Climat : Clément Beaune réfléchit à une régulation des vols en jet privé – franceinfo,
497,Chat chauffe @Chat_Chauffe·21 août,Jet privé : les pistes du gouvernement pour stopper les abus,
498,Mathis Sedira-Lemaire @sediralemaire·24 août,"C'est peu judicieux, plutot que d'interdire les jets privés, taxons leurs émissions de GES à 500€/tonne de Co2 (10X le prix du carbone qui devrait être mis en place),certains vols en jet privé sont socialement désirables, si ils reviennent à un prix si élevé cela me parait juste","4 réponses, 1 J'aime"
499,Le Parisien | politique@leparisien_pol·23 août,"Jets : «L’usage privé» représente «une toute petite partie», tempère Véran, ouvert à une régulation
 https://l.leparisien.fr/iFvd","11 réponses, 10 Retweets, 12 J'aime"
500,reviens France@mcr4s·22 août,"Encore une idée folle….
Jet privé : les pistes du gouvernement pour stopper les abus",
501, o((X﹏X))o@UnBienCommun·20 août,Question d’argent pour des gens qui n’ont pas de problème d’argent. Ils paieront le droit de Sobriété énergétique : Clément Beaune veut réguler les vols en jet privé   et en faire un business de privilégiés qui chient sur vos consciences.,
